SDSS,petroR90_g,b_a,TT,Bar,RA,DE,hubble,ellip
J15275703+03222692,37.19,0.689,-5,0,231.98762,3.374144,E3,3
J15293253+03230575,7.55,0.658,-2,0,232.38554,3.384931,S0,-99
J15372272+03074716,9.04,0.853,-3,0,234.34467,3.129767,S0,-99
J15382839+03103971,12.96,0.331,2,0,234.61829,3.177697,Sa,-99
J15393944+03115651,76.14,0.59,4,4,234.91433,3.199031,SBb,-99
J15414168+03010268,18.55,0.725,-5,0,235.42367,3.017411,E3,3
J15471797+02572462,9.29,0.549,-3,0,236.82487,2.956839,S0,-99
J15585580+02483394,16.05,0.817,-3,0,239.7325,2.809428,S0,-99
J15590953+02475847,22.35,0.976,-3,0,239.78971,2.799575,S0,-99
J15591744+02444444,8.36,0.474,1,0,239.82267,2.745678,Sa,-99
J15592264+02454057,17.86,0.771,3,0,239.84433,2.761269,Sb,-99
J15594696+02424593,22.2,0.884,-5,0,239.94567,2.712758,E1,1
J15594969+02400198,10.96,0.603,-3,0,239.95704,2.667217,S0,-99
J16000209+02434804,17.19,0.849,3,4,240.00871,2.730011,SBb,-99
J16002361+02441632,4.87,0.572,1,0,240.09837,2.737867,Sa,-99
J12401146+05224203,15.19,0.772,3,2,190.04775,5.378342,SBb,-99
J12403246+05211991,14.46,0.529,0,0,190.13525,5.355531,S0,-99
J12542100+05165752,10.71,0.712,3,4,193.5875,5.282644,SBb,-99
J13330421+04585425,6.91,0.715,2,0,203.26754,4.981736,Sa,-99
J13340681+05060834,5.49,0.639,0,0,203.52837,5.102317,S0,-99
J13401608+05043472,10.84,0.59,0,0,205.067,5.076311,S0,-99
J13403253+05051951,14.03,0.513,-3,0,205.13554,5.088753,S0,-99
J13410520+05062089,50.15,0.656,5,8,205.27167,5.105803,SBc,-99
J13412256+05022441,10.63,0.223,3,16,205.344,5.040114,SBb,-99
J13413931+05015833,19.54,0.828,-2,0,205.41379,5.032869,S0,-99
J13444136+04563154,6.85,0.384,3,0,206.17233,4.942094,Sb,-99
J13480017+04591734,16.47,0.418,5,8,207.00071,4.98815,SBc,-99
J14143042+04400700,7.86,0.799,0,0,213.62675,4.668611,S0,-99
J14162467+04380187,11.95,0.656,3,72,214.10279,4.633853,SBb,-99
J14192066+04362334,8.72,0.771,3,0,214.83608,4.606483,Sb,-99
J14220972+04311611,17.11,0.707,0,0,215.5405,4.521142,S0,-99
J14225085+04395704,17.43,0.668,3,0,215.71187,4.665844,Sb,-99
J14243659+04333301,11.97,0.834,1,0,216.15246,4.559169,Sa,-99
J14255377+04383372,16.42,0.612,4,8,216.47404,4.6427,SBb,-99
J14273823+04273721,11.55,0.79,-2,0,216.90929,4.460336,S0,-99
