OBJID,RA,DEC
588016840711471246,08:44:32.40,+28:37:09.6
587738947200352425,08:44:33.41,+26:06:15.2
587738947200352424,08:44:33.71,+26:07:01.2
587728880867148063,08:44:40.49,+03:26:29.8
587742008973394008,08:44:52.52,+13:08:55.5
587731520667779247,08:44:57.52,+39:11:36.5
587734622705942569,08:45:11.13,+33:07:02.7
587728880330342576,08:45:36.20,+03:03:38.2
587732048941154490,08:46:08.39,+42:24:59.6
587732578834252205,08:46:09.49,+05:04:44.9
587735043076587689,08:46:34.43,+30:27:26.3
588016840174665882,08:46:40.34,+28:18:29.6
587738194508775650,08:47:02.92,+60:34:09.3
587728931341730003,08:47:05.80,+45:57:27.4
587739115777491151,08:47:13.30,+25:20:59.8
587727943489094075,08:47:14.09,+01:21:44.6
587728879793668350,08:47:15.95,+02:39:37.3
587742061587595529,08:47:44.95,+14:07:14.5
587741816237654341,08:47:46.01,+15:19:05.2
587741532769419567,08:47:49.22,+19:02:51.6
587742061587595575,08:47:49.49,+14:07:30.4
588013382189973762,08:47:49.93,+37:09:42.0
587735241712140347,08:47:53.31,+31:52:37.1
587739406761394442,08:48:27.78,+22:38:01.2
587732469851947046,08:48:58.11,+34:54:15.1
587731521205240033,08:49:01.22,+40:30:51.0
587732469852012722,08:49:20.25,+34:59:57.7
587732483269001423,08:49:25.15,+35:43:53.0
587735343720693824,08:49:25.57,+07:30:41.0
587742061050855717,08:49:27.56,+13:41:57.3
587734621632462923,08:49:46.36,+32:46:11.3
587725471207653545,08:49:48.55,+53:47:04.4
588007003627061346,08:49:49.11,+51:05:38.0
588007005775331446,08:49:59.55,+53:31:03.7
587731521205370990,08:50:04.66,+40:36:07.8
587734621632462995,08:50:08.13,+32:50:18.1
587739407835594909,08:50:27.57,+23:47:49.6
587738067810123976,08:50:58.86,+63:54:33.7
588297863103774824,08:51:06.24,+32:39:42.3
587734948046373131,08:51:13.68,+07:02:05.3
587741532769812680,08:51:15.68,+19:26:23.0
588023045864620187,08:51:20.45,+16:55:46.4
587738565483888980,08:51:26.32,+09:36:07.9
588016878293352461,08:51:54.05,+28:50:55.6
587738197194571906,08:52:00.52,+64:25:35.9
587742014872879280,08:52:14.03,+15:05:12.8
587729388212912327,08:52:23.26,+48:08:44.7
587727942952812834,08:52:25.64,+00:59:53.0
587744874790453378,08:52:32.96,+13:03:41.4
588010136802033735,08:52:38.27,+50:41:39.7
587735241175728276,08:53:01.37,+32:11:19.4
587734621632856196,08:53:21.55,+33:16:30.0
588023045864816713,08:53:24.67,+17:02:23.0
587742062125187309,08:53:25.54,+14:59:01.0
588023239131922649,08:53:36.62,+15:35:04.3
588016840712454264,08:53:40.80,+29:45:00.3
587738946664464665,08:53:50.10,+27:03:55.5
588010136265097366,08:53:50.91,+50:12:33.1
587728880868131020,08:53:55.02,+03:44:08.8
587735043614441699,08:53:57.38,+32:07:05.2
587732050016075947,08:53:59.31,+44:44:53.9
588010360139743249,08:54:19.88,+03:53:09.9
587745244157772035,08:54:28.12,+12:54:22.2
587731886814330993,08:54:30.72,+44:33:10.5
588297865252176087,08:54:32.15,+35:09:20.2
588009368008523881,08:54:50.04,+51:17:24.1
587734622706991273,08:55:12.36,+34:24:09.4
587741709402833167,08:55:14.02,+18:30:46.5
588007006312923251,08:55:23.50,+54:57:02.3
587735241175990385,08:55:26.30,+32:21:30.5
587734948583768128,08:55:31.61,+07:35:54.5
588013384338899051,08:55:36.02,+40:27:27.8
588848899355640079,08:55:40.19,-00:32:57.2
587745244694839532,08:55:42.84,+13:26:12.5
588016878830747787,08:55:49.65,+29:49:59.1
587735241176121535,08:56:18.15,+32:42:21.6
587735241176121568,08:56:32.69,+32:38:21.3
587732153638453426,08:56:46.10,+37:36:30.5
587734948583964887,08:57:01.42,+07:43:17.0
587739157110784254,08:57:07.31,+25:18:47.3
587739377235132588,08:57:23.53,+24:14:14.8
588013382191087789,08:57:43.98,+38:43:43.6
587744874791043273,08:57:56.69,+13:17:08.8
587735347479707754,08:57:58.18,+09:00:21.6
587734948584030533,08:58:06.72,+07:43:39.6
588023045865406507,08:58:20.64,+17:32:16.3
587735347479773408,08:58:25.65,+08:55:16.3
587732771571630270,08:58:29.70,+06:27:14.8
587739115241799883,08:58:34.73,+26:12:42.3
